Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
179,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,33,Germany,Europe,Europe,4/1/2015,5,0.946541577
180,Male,3 - Senior Manager,N,2,No,No,0.50,Yes,Y,HR,FY20,LEFT,HR,100%,Full Time,Inconclusive,3 - Senior Manager & HR,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.28986362
181,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,2,20 to 29,29,Italy,Europe,Europe,4/1/2012,8,0.210743804
182,Female,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Internal Services,FY20,LEFT,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,40 to 49,44,Germany,Europe,Europe,4/1/2018,2,0.349848361
183,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,60%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,0,20 to 29,28,United States,Americas,Elsewhere,4/1/2017,3,0.149129078
184,Male,6 - Junior Officer,Y,0,No,No,0.50,No,N,Internal Services,Stay,6 - Junior Officer,Internal Services,80%,Part Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,0,NA,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.540487882
185,Male,6 - Junior Officer,Y,0,No,No,0.50,No,N,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,25,Germany,Europe,Europe,4/1/2020,0,0.798172341
186,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,28,Germany,Europe,Europe,4/1/2018,2,0.004237378
187,Male,5 - Senior Officer,N,1,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,0,30 to 39,30,China,Asia Pacific,Elsewhere,4/1/2017,3,0.7909112
188,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.825218884
189,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.903792027
190,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,33,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.898362454
191,Male,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,60 to 69,62,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.172928421
192,Male,2 - Director,Y,0,No,No,0.50,No,N,Operations,Stay,2 - Director,Operations,100%,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,0,NA,N,0,30 to 39,39,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.26900131
193,Male,4 - Manager,N,3,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,9,4 - Manager,N,3,20 to 29,25,France,Europe,Europe,4/1/2011,9,0.711670468
194,Female,6 - Junior Officer,Y,0,No,No,0.50,No,N,Internal Services,Stay,6 - Junior Officer,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,0,NA,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.141357623
195,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,2,5 - Senior Officer,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.540061299
196,Male,3 - Senior Manager,Y,0,No,No,0.50,No,N,Operations,Stay,3 - Senior Manager,Operations,100%,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,40 to 49,40,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.147191651
197,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Finance,Stay,6 - Junior Officer,Finance,100%,Full Time,Inconclusive,6 - Junior Officer & Finance,Even,6 - Junior Officer,5,6 - Junior Officer,N,2,20 to 29,23,France,Europe,Europe,4/1/2015,5,0.056709367
198,Female,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.674530577
199,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,6 - Junior Officer,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.030537355
200,Male,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,40 to 49,41,Italy,Europe,Europe,4/1/2011,9,0.703160684
201,Female,5 - Senior Officer,Y,0,No,No,0.50,No,N,HR,Stay,5 - Senior Officer,HR,60%,Part Time,Inconclusive,5 - Senior Officer & HR,Even,5 - Senior Officer,0,NA,N,0,30 to 39,33,France,Europe,Europe,4/1/2020,0,0.231089143
202,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,4 - Manager,Internal Services,100%,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,34,United States,Americas,Elsewhere,4/1/2012,8,0.187894259
203,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,26,Germany,Europe,Europe,4/1/2019,1,0.009109216
204,Male,6 - Junior Officer,Y,0,No,No,0.50,No,N,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.71096911
205,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,40 to 49,40,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.369342658
206,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Finance,Stay,4 - Manager,Finance,100%,Full Time,Inconclusive,4 - Manager & Finance,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,36,United Kingdom,Europe,Europe,4/1/2015,5,0.648352753
207,Male,2 - Director,Y,0,No,No,0.50,No,N,Internal Services,Stay,2 - Director,Internal Services,100%,Full Time,Inconclusive,2 - Director & Internal Services,Uneven - Men benefit,2 - Director,0,NA,N,0,30 to 39,38,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.357534355
208,Female,6 - Junior Officer,N,1,No,Yes,0.50,No,Y,Internal Services,Stay,6 - Junior Officer,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.866699626
209,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,28,Germany,Europe,Europe,4/1/2017,3,0.553344718
210,Female,4 - Manager,N,0,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,2,50 to 59,51,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.11504616
211,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,21,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.810055181
212,Male,5 - Senior Officer,Y,0,No,No,0.50,No,N,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,0,NA,N,0,20 to 29,27,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.872036862
213,Female,2 - Director,N,4,No,Yes,0.50,No,Y,HR,Stay,2 - Director,HR,100%,Full Time,Inconclusive,2 - Director & HR,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,44,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.941744043
214,Female,6 - Junior Officer,Y,0,No,No,0.50,No,N,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,28,France,Europe,Europe,4/1/2020,0,0.192501004
215,Male,4 - Manager,N,1,Yes,Yes,0.50,No,Y,Operations,Stay,3 - Senior Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,37,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.048377713
216,Female,5 - Senior Officer,N,0,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,40 to 49,44,France,Europe,Europe,4/1/2011,9,0.423601935
217,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.420194109
218,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.029019132
219,Female,3 - Senior Manager,Y,0,No,No,0.50,No,N,Operations,Stay,3 - Senior Manager,Operations,100%,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.902401202
220,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,29,Germany,Europe,Europe,4/1/2011,9,0.060300175
221,Female,5 - Senior Officer,Y,0,No,No,0.50,No,N,Strategy,Stay,5 - Senior Officer,Strategy,100%,Full Time,Inconclusive,5 - Senior Officer & Strategy,Even,5 - Senior Officer,0,NA,N,0,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.7311345
222,Male,2 - Director,N,3,Yes,Yes,0.50,No,Y,Sales & Marketing,Stay,1 - Executive,Sales & Marketing,100%,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,6,2 - Director,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.017913897
223,Female,5 - Senior Officer,N,0,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,5,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.293406014
224,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Internal Services,Stay,3 - Senior Manager,Internal Services,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,46,Germany,Europe,Europe,4/1/2011,9,0.368938431
225,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,20 to 29,25,Romania,Europe,Europe,4/1/2014,6,0.775819232
226,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,21,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.821342437
227,Male,4 - Manager,N,3,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,2,40 to 49,43,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.544849646
228,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Internal Services,Stay,4 - Manager,Internal Services,100%,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.941624721
229,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Internal Services,Stay,3 - Senior Manager,Internal Services,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.533908234
230,Female,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,40 to 49,42,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.185305303
231,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Finance,Stay,3 - Senior Manager,Finance,100%,Full Time,Inconclusive,3 - Senior Manager & Finance,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,France,Europe,Europe,4/1/2016,4,0.792123457
232,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,30 to 39,34,Spain,Europe,Europe,4/1/2017,3,0.123841641
233,Female,6 - Junior Officer,Y,0,No,No,0.50,No,N,Strategy,Stay,6 - Junior Officer,Strategy,80%,Part Time,Inconclusive,6 - Junior Officer & Strategy,Even,6 - Junior Officer,0,NA,N,0,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.390035237
234,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,29,Germany,Europe,Europe,4/1/2018,2,0.706130199
235,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,4 - Manager,Internal Services,100%,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,32,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.235982586
236,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.944408685
237,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.24523385
238,Female,6 - Junior Officer,Y,0,No,No,0.50,No,N,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0,NA,N,0,20 to 29,22,France,Europe,Europe,4/1/2020,0,0.204160962
239,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,36,Italy,Europe,Europe,4/1/2014,6,0.176677444
240,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,27,Italy,Europe,Europe,4/1/2016,4,0.487241854
241,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,Internal Services,Stay,4 - Manager,Internal Services,100%,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,38,Germany,Europe,Europe,4/1/2018,2,0.529046027
242,Male,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Internal Services,FY20,LEFT,Internal Services,100%,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,37,France,Europe,Europe,4/1/2017,3,0.800701596
243,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Operations,Stay,2 - Director,Operations,100%,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,1,3 - Senior Manager,Y,2,40 to 49,42,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.436373464
244,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,4,40 to 49,41,United Kingdom,Europe,Europe,4/1/2011,9,0.626080345
245,Female,5 - Senior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,70%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,5,5 - Senior Officer,N,3,40 to 49,49,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.246348791
246,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,5,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.522888819
247,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.447914323
248,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,30,Spain,Europe,Europe,4/1/2012,8,0.549963582
249,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,21,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.235423961
250,Male,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,5,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.721159224
251,Male,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.038111371
252,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.793145872
253,Male,6 - Junior Officer,N,4,No,Yes,0.50,No,Y,Finance,Stay,6 - Junior Officer,Finance,100%,Full Time,Inconclusive,6 - Junior Officer & Finance,Even,6 - Junior Officer,5,6 - Junior Officer,N,2,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.161358866
254,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,Stay,6 - Junior Officer,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.47817068
255,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.12788724
256,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,29,Germany,Europe,Europe,4/1/2015,5,0.821991358
257,Male,1 - Executive,N,0,No,No,0.50,No,Y,Strategy,Stay,1 - Executive,Strategy,100%,Full Time,NA,NA,NA,NA,3,1 - Executive,N,3,40 to 49,43,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.899643933
258,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,4/1/2018,2,0.735407919
259,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,HR,Stay,6 - Junior Officer,HR,100%,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.282548766
260,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.247878537
261,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,HR,Stay,4 - Manager,HR,100%,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,7,4 - Manager,N,3,30 to 39,39,France,Europe,Europe,4/1/2013,7,0.186372013
262,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Finance,Stay,2 - Director,Finance,100%,Full Time,Inconclusive,2 - Director & Finance,Uneven - Men benefit,2 - Director,1,3 - Senior Manager,Y,2,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.790759582
263,Male,5 - Senior Officer,Y,0,No,No,0.50,No,N,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,0,NA,N,0,20 to 29,27,Austria,Europe,Europe,4/1/2020,0,0.541201555
264,Male,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,28,France,Europe,Europe,4/1/2019,1,0.334837742
265,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.721256898
266,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,80%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,2,5 - Senior Officer,N,2,30 to 39,32,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.207281378
267,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Finance,Stay,5 - Senior Officer,Finance,100%,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.228494156
268,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,France,Europe,Europe,4/1/2017,3,0.89849288
